=== gen_modules.py run started 2026-06-17 03:51:08 ===
[03:51:08] INFO  Pool      : generated
[03:51:08] INFO  Output    : C:\Users\Benji\fabled\userinput\modules\generated
[03:51:08] INFO  Max hours : 8.0  |  Target modules: 300
[03:51:08] INFO  Seed      : 2026
[03:51:08] INFO  Quit: type 'q' + Enter,  or  create file 'userinput/gen_stop.flag'
[03:51:08] INFO  Initial threshold: 0.58  weights: {}
[03:51:08] INFO  Starting — initial threshold 0.58
[03:51:08] INFO  Phases: [(0, 0.58), (300, 0.87), (500, 0.91)]
[03:51:08] INFO  SAVE # 148 | score=0.787 str=planned            | ent=1 (N      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[03:51:08] INFO  SAVE # 149 | score=0.953 str=planned            | ent=3 (S,N,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE # 150 | score=0.973 str=planned            | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE # 151 | score=0.964 str=planned            | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 152 | score=0.926 str=planned            | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE # 153 | score=0.923 str=planned            | ent=3 (S,N,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE # 154 | score=0.923 str=planned            | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE # 155 | score=0.959 str=planned            | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[03:51:08] INFO  SAVE # 156 | score=0.951 str=planned            | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 157 | score=0.913 str=planned            | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 158 | score=0.783 str=planned            | ent=1 (W      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[03:51:08] INFO  SAVE # 159 | score=0.959 str=planned            | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[03:51:08] INFO  SAVE # 160 | score=0.927 str=planned            | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE # 161 | score=0.783 str=planned            | ent=1 (E      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[03:51:08] INFO  SAVE # 162 | score=0.951 str=planned            | ent=2 (S,N    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 163 | score=0.905 str=planned            | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 164 | score=0.955 str=planned            | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[03:51:08] INFO  SAVE # 165 | score=0.953 str=planned            | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE # 166 | score=0.891 str=planned            | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
